Timestamp,Value_NE5,Value_NE7
2015-01-06T06:15:00Z,32406.515,58779.328
2015-01-06T06:30:00Z,33113.000,61958.387
2015-01-06T06:45:00Z,34442.526,64817.135
2015-01-06T07:00:00Z,34909.514,67659.735
2015-01-06T07:15:00Z,35537.413,69342.829
2015-01-06T07:30:00Z,35681.847,69812.011
2015-01-06T07:45:00Z,36226.914,70856.006
2015-01-06T08:00:00Z,36331.742,71840.821
2015-01-06T08:15:00Z,36318.803,72639.453
2015-01-06T08:30:00Z,36268.754,72989.043
2015-01-06T08:45:00Z,36270.447,73865.364
2015-01-06T09:00:00Z,36519.069,74478.283
2015-01-06T09:15:00Z,36223.393,75413.458
2015-01-06T09:30:00Z,36228.589,75854.140
2015-01-06T09:45:00Z,36086.099,75834.697
2015-01-06T10:00:00Z,36172.621,75966.870
2015-01-06T10:15:00Z,36318.744,76120.414
2015-01-06T10:30:00Z,36454.920,76408.696
2015-01-06T10:45:00Z,36319.753,76938.995
2015-01-06T11:00:00Z,36179.196,77238.232
2015-01-06T11:15:00Z,35956.840,76221.703
2015-01-06T11:30:00Z,35740.345,74882.816
2015-01-06T11:45:00Z,35380.139,74229.841
2015-01-06T12:00:00Z,35100.625,73568.695
2015-01-06T12:15:00Z,35718.935,73876.790
2015-01-06T12:30:00Z,35934.749,73657.279
2015-01-06T12:45:00Z,35746.227,72863.917
2015-01-06T13:00:00Z,35954.494,72181.940
2015-01-06T13:15:00Z,35776.580,71367.761
2015-01-06T13:30:00Z,35682.345,70677.229
2015-01-06T13:45:00Z,35335.213,70352.104
2015-01-06T14:00:00Z,35460.965,69812.080
2015-01-06T14:15:00Z,35274.900,69532.244
2015-01-06T14:30:00Z,35212.662,69108.098
2015-01-06T14:45:00Z,34883.027,69149.045
2015-01-06T15:00:00Z,34906.016,69540.660
2015-01-06T15:15:00Z,34644.123,69923.156
2015-01-06T15:30:00Z,34588.048,70301.866
2015-01-06T15:45:00Z,34244.899,71083.563
2015-01-06T16:00:00Z,34303.061,72591.980
2015-01-06T16:15:00Z,33990.613,75113.706
2015-01-06T16:30:00Z,33695.975,76171.921
2015-01-06T16:45:00Z,33053.804,77109.276
2015-01-06T17:00:00Z,33097.658,77955.081
2015-01-06T17:15:00Z,32403.931,78238.791
2015-01-06T17:30:00Z,32174.014,78245.177
2015-01-06T17:45:00Z,31488.525,77624.016
